user_id,note
00422cb1-9944-476b-8a56-7146d13a8fa1,bootstrapped 2026-08-13: sibc cohort member with no Ulsan wellness-mission accrual (categories under pm_category_no=34 excl. 41 completion flag); owner must confirm
060903e4-6d31-4723-a78e-f067ea6f3b39,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
1a62eca4-e953-4215-8bec-48c1af99dc7f,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
1b139aba-15d5-44eb-877a-5e427124270a,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
2725eece-14f6-4cd1-9e61-6abf9ad92553,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
45c1c802-1649-4388-98e0-fda55dc78286,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
4a6bec47-328c-4655-aa18-1837d7c03f3b,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
5e99f98c-6d51-4cf9-bbac-88420ec4af73,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
667a0356-afbc-4436-af92-8039eae41e52,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
7ba6074c-531e-471e-93a3-b8c97890ec0f,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
8909f972-03a9-49b3-b6e9-79b44cc4d63a,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
97b3d8c0-9b32-485e-9627-ef0189cd289e,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
9bfd7e58-7324-4f0d-8c55-18d361d33e70,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
9dbfdec7-ceca-49bb-9fe6-2fe223737a6f,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
b73c9f3a-6470-4935-8916-8cc5f9b2b855,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
bfab4cd2-f5f0-4e9f-ba31-b06f2a7416f6,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
dfabafab-b911-4c11-8135-e247dc8bbd06,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
f9620fe5-88dd-4270-b2ca-48f2ccde2087,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
fbe82bc5-85ef-4640-90c1-de87b6f16151,bootstrapped 2026-08-13: no wellness-mission accrual; owner must confirm
